"Botanical","Common","Type","Description"
"Acalypha wilkesiana 'Louisiana Red'","Louisiana Red Copper Leaf","Copper Leaves (Acalypha)","Deep red copper leaf that creates privacy buffer growing 8-10 feet if left to grow. Trimmed twice a year back to 4 feet. Four 7-gallon plants create a solid wall of color. Gets a little stemmy at the bottom — always use an underskirt planting."
"Acalypha wilkesiana 'Java White'","Java White Copper Leaf","Copper Leaves (Acalypha)","White/light copper leaf variant. Creates softness and brightness. Used as a transition between dark and colorful plantings. Staggered at 2 feet on center so plants fully connect."
"Acalypha wilkesiana 'Hoffmannii' (or similar cultivar)","Jacob's Coat Copper Leaf","Copper Leaves (Acalypha)","Variegated copper leaf related to Louisiana Red. Used as backdrop groupings creating colorful walls. Multiple color variations available."
"Acalypha wilkesiana 'Rojo'","Rojo Red Copper Leaf","Copper Leaves (Acalypha)","Dark red/rojo copper leaf variety. Used as backdrops and corner plantings. Gorgeous fire-toned color that makes it a year-round showstopper."
"Acalypha wilkesiana 'Curly'","Curly Copper Leaf","Copper Leaves (Acalypha)","Textured copper leaf with distinctive curling leaves. Adds a different dimension to copper leaf groupings."
"Clusia guttifera / Clusia rosea","Clusia (Pitch Apple / Autograph Tree)","Shrubs & Hedges","Go-to hedge plant. Dense from bottom to top with no openings — stays solid throughout. Grows faster than buttonwood so requires more trimming. Thins slightly in shade so needs extra fertilizing in low-light areas. Used extensively as rear backdrop hedging. Seen throughout the Florida Keys. Can be maintained at any height."
"Carissa macrocarpa 'Boxwood Beauty' / 'Emerald Blanket'","Carissa Boxwood (Natal Plum)","Shrubs & Hedges","Florida's answer to northern boxwood. Formal, compact, shiny green leaf. Emerald Blanket variety is on the smaller side. Used both as hedging and as individual rounded ground cover in groupings. Maintained individually rather than as one solid hedge for a more organic look. 'Florida boxwood' — very formal, very controlled."
"Conocarpus erectus","Green Buttonwood","Shrubs & Hedges","Florida native that's underrated. Can be kept at 3 feet or let to grow to 20 feet. Makes a fabulous dense hedge. Salt-tolerant — perfect for coastal areas. Doesn't grow as fast as Clusia so less maintenance. Stays solid from bottom to top. No beautiful blooms but tough, reliable, and resilient to pests. Attracts birds."
"Conocarpus erectus var. sericeus","Silver Buttonwood","Shrubs & Hedges","Silver foliage version of buttonwood. Provides beautiful contrast against green plantings. Used along curved walkways and as hedge lines. One silver element can really pop against a lot of greens."
"Viburnum obovatum 'Mrs. Schiller's Delight'","Mrs. Schiller's Delight Viburnum","Shrubs & Hedges","Dwarf native viburnum that's become a new favorite. Gorgeous white flowers. Super compact shape that stays small without heavy trimming. Blooms all spring, summer, and into fall. Handles temperatures well below freezing — good all the way to Jacksonville. Used as dark green border framing. Natural soft boxwood-type look."
"Podocarpus macrophyllus","Podocarpus","Shrubs & Hedges","Dense hedge option — denser than many alternatives. Can be shaped and maintained like buttonwood. Used as privacy screening and formal hedging."
"Hibiscus rosa-sinensis","Hibiscus","Shrubs & Hedges","Used in pink variety as backdrop along 8-foot walls. Red variety is a butterfly plant. Not in bloom during winter months but provides nice color backdrop during blooming season."
"Bougainvillea spp.","Bougainvillea","Shrubs & Hedges","Multicolored tree variety with white, fuchsia, and watermelon coloring on the same plant. Requires maintenance as it can grow vigorously. Used as accent trees and wall coverings. Loves BGI bougainvillea fertilizer. Don't give too much water. Blooms prolifically with proper care."
"Bougainvillea 'Helen Johnson'","Bougainvillea 'Helen Johnson' (Dwarf)","Shrubs & Hedges","Dwarf bougainvillea variety. Used as a half-circle accent at the base of larger bougainvillea trees. Darker pink, almost violet-colored flowers. Lower-maintenance than full-size varieties."
"Jasminum spp. (likely J. multiflorum or J. sambac dwarf)","Dwarf Jasmine","Shrubs & Hedges","Compact with beautiful fragrance. Used as formal border plantings. About to burst into bloom in the designs shown. Wonderful jasmine scent adds a sensory layer to garden design."
"Furcraea foetida","False Agave (Furcraea)","Accent Plants","Most frequently used agave-type accent. Vertical, architectural focal point. Planted about 5 feet on center in triangular formations. Frames front beds and entrances. Gives substance and draws the eye vertically. Paired with song of India for contrast. Taller variety available. Goes up and out as it matures."
"Agave americana","Americana Agave","Accent Plants","Classic large blue-green agave. Used as bold anchor accent alongside dwarf pentas. Creates dramatic entrance features."
"Agave 'Blue Flame'","Blue Flame Agave","Accent Plants","Blue-toned agave that pairs beautifully with boulders. A favorite accent for creating desert-meets-tropical vignettes."
"Agave attenuata","Foxtail Agave","Accent Plants","Soft, thornless agave. Used to add gentle interest around boulders and bromeliad halos. No risk of stabbing — safe near walkways."
"Agave angustifolia or Agave karatto","Caribbean Agave","Accent Plants","Smaller agave variety. Used in groups of three. Described as cute little accents — they're compact showstoppers."
"Yucca rostrata","Yucca Rostrata (Beaked Yucca)","Accent Plants","A new favorite accent. Thornless — can touch leaves without problems. Silver-toned, drought-tolerant, handles cold temperatures all the way to Jacksonville. Grows super slow (4-6 inches per year). Develops a cool trunk when mature. Easy to match multiples for symmetry. Perfect in tall tubular pots along walkways."
"Dracaena reflexa 'Song of India'","Song of India","Accent Plants","Incredibly versatile — lives in shade, filtered light, or full sun. Beautiful yellow and green variegation (more white/green in shade). Easily kept as a compact bush by nipping the tops, which forces branching. Each trim produces two new heads. Can be trained as a tree or kept bushy forever. Used to brighten dark spots between darker plantings."
"Pandanus utilis","Screw Pine","Accent Plants","Unique spiral leaf arrangement. Available in full-size and dwarf varieties. Dwarf stays small. Used as an anchor on opposite sides of beds from palms for visual balance."
"Crinum augustum 'Queen Emma'","Queen Emma Crinum Lily","Accent Plants","Purple-tinted tropical lily. Used in staggered triangular formations along driveways. Three plants create nice impact. Still young in the design shown but will flush out to nice size."
"Crinum spp.","Crinum Lily","Accent Plants","Large tropical lily reaching 6-7 feet. Leaves a bare stem/stock behind as it grows, which can be layered underneath with smaller plants like variegated ginger. Fills out to become broad, big, and leafy. Some people don't love the exposed stock but it creates great layering opportunities."
"Philodendron 'Rojo Congo'","Rojo Congo Philodendron","Tropical Foliage","One of the most beloved plants across all designs. Shiny, gorgeous dark leaves. Starts compact at 3-gallon size covering the ground, then matures upright creating space for underplanting. Used wherever possible — every garden gets at least a few. Pairs with aglaonemas and copper leaves."
"Aglaonema 'Silver Bay'","Silver Bay Aglaonema (Chinese Evergreen)","Tropical Foliage","Super slow-growing foliage plant. Takes a very long time to develop any stemming. Used as a secondary layer beneath taller Rojo Congos. Grows in filtered light to full shade. Eventually allows room for foxtail ferns underneath as it matures. Multiple varieties mentioned including 'Maras.'"
"Schefflera arboricola 'Variegata'","Variegated Schefflera (Dwarf Umbrella Tree)","Tropical Foliage","Variegated foliage provides nice contrast. Grows well as a mid-height bush. Used in the intermediate layer between palms and ground cover."
"Anthurium hookeri or A. 'Jungle King' (large landscape types)","Anthurium (Landscape variety)","Tropical Foliage","Dark-foliaged tropical used extensively as mid-height clusters. Plant 2-3 in one hole so they push against each other and form thick groupings. Creates dark contrast against brighter plantings. Very popular — frequently used alongside copper leaves, crotons, and bromeliads. Collections of them framed with Song of India brighteners. Note: exact plant uncertain from transcription — may also refer to a large Alocasia or Cordyline variety."
"Monstera deliciosa","Monstera (Swiss Cheese Plant)","Tropical Foliage","Split-leaf tropical. Can handle more sun than commonly thought. Two plants don't seem like a lot but they fill in dramatically. Works well with philodendrons. Leaves pop out around other garden elements for a lush jungle feel."
"Thaumatophyllum bipinnatifidum (formerly Philodendron selloum)","Split Leaf Philodendron","Tropical Foliage","Tough, tried-and-true privacy plant. Handles salt, clay, well-draining soil, filtered light, and full sun. Creates a soft, wild look that tears down naturally. Quick privacy from small size/small budget. Not for formal gardens — naturally branches and widens over time. Good for 5-10 years before needing replacement."
"Thaumatophyllum xanadu","Xanadu Philodendron","Tropical Foliage","Dwarf, compact alternative to Burle Marx philodendron. Ideal ground-space filler in medium light to full shade. More controlled and compact than Burle Marx. Burns in direct sun."
"Philodendron burle-marxii","Burle Marx Philodendron","Tropical Foliage","Gorgeous glossy-leafed bedding plant. Cascading and clustering growth habit — needs to be planted with companions, not isolated. Creates a beautiful sea of green jungle floor. Stays around 2.5-3 feet. Grows super slow. Perfect under trees in shade with leaf acid. A lovely anchor point plant. Alternative: Xanadu for a more compact option."
"Alocasia 'Borneo Giant'","Borneo Giant Alocasia","Tropical Foliage","Stunning giant-leafed plant. Really branches out as it matures. Produces pups for new garden spots. Beautiful, healthy trunk base. Creates a dramatic focal point in shaded areas. Every star needs a supporting cast."
"Alocasia / Colocasia spp.","Elephant Ear","Tropical Foliage","Large tropical leaves that add instant drama. Can work right in water. Used in shade to filtered light areas. Let them live naturally and fill in space."
"Colocasia esculenta 'Black Magic'","Black Magic Elephant Ear","Tropical Foliage","Clusters together for a wild, dark look. The deep, dark color is dramatic. Matures quickly and fills in spaces rapidly. All the woody stems eventually get hidden as foliage fills in. Used to back centerpiece palms."
"Sanchezia speciosa","Sanchezia","Tropical Foliage","A go-to skirt and intermediate planting that the designer 'can't say enough about.' Plant 3-5 together and they thicken up into a solid dash of color. Needs some sun protection — handles morning and early afternoon sun but wilts in harsh afternoon rays. Grows faster than crotons. Trimmed twice a year. Used as the primary layer between taller accent plants and lower ground covers. Dense, thick, and colorful. Note: exact identification uncertain from transcript phonetics."
"Asparagus densiflorus 'Myersii'","Foxtail Fern","Ferns","Chartreuse green foxtail-shaped fronds. The go-to lower-layer plant. Creates a swath of texture beneath taller plantings. Pairs with everything — crotons, bromeliads, agaves. Used in sweeps wherever a soft green carpet is needed."
"Asplenium nidus","Bird's Nest Fern","Ferns","Epiphyte — can be mounted on trees or grown at tree bases. Creates a soft, pillowy effect around palm trunks. Whole communities of them create lush green carpets in shaded areas. Used at the bottom of tree-mounted bromeliad displays."
"Cyathea or Dicksonia sp.","Large Tree Fern","Ferns","Massive fern spotted at botanical garden — described as 'huge' and impressive."
"Evolvulus glomeratus 'Blue My Mind'","Blue My Mind (Dwarf Morning Glory)","Ground Covers & Low Plants","Low-growing ground cover with blue flowers. Used at the base of stair-step planting designs as the lowest tier. Butterfly-attracting. Creates a carpet of blue color. One of the listed butterfly plants in the garden."
"Pentas lanceolata (dwarf varieties)","Dwarf Pentas","Ground Covers & Low Plants","Brazilian Red variety is a favorite. Blooms all spring, summer, and into fall. Used in dabs/clusters of 5-6, not large sweeps. Broken with non-blooming plants between clusters. Must be trimmed — go mushroom style (taller in center, rounded at bottom). Connects into solid swaths of ground cover. Major butterfly attractor."
"Lantana camara (sterile varieties preferred)","Lantana","Ground Covers & Low Plants","Multiple varieties used: yellow, fire orange, 'Ann Marie.' Always use STERILE varieties — not the ones that spread invasively. Compact versions preferred. Yellow lantana used as carpet flowers. Fire orange for warm pops. Butterfly-attracting — listed as a garden butterfly plant."
"Ixora chinensis (dwarf/Taiwanese cultivars)","Dwarf Ixora (Taiwanese Ixora)","Ground Covers & Low Plants","Blooms 10 months of the year — incredible flower production. Multiple colors available including Maui yellow and red varieties. Used as sweeps and swaths. Pairs with crotons and copper leaves. Great for formal front beds. One of the most reliable blooming plants in the landscape."
"Alternanthera dentata 'Little Ruby'","Little Ruby (Joseph's Coat)","Ground Covers & Low Plants","Deep red/burgundy ground cover. Used in seas and sweeps. Great low-growing border plant. Pairs with other compact plants. Stays mounded and offers consistent color without blooming. Never planted in straight lines — used in organic clusters."
"Sphagneticola trilobata","Wedelia / Daisy Carpet Flower","Ground Covers & Low Plants","Aggressive growing ground cover with yellow daisy-like blooms. Creates 1.5-2 foot tall carpet. Give it its own space — don't crowd with other plants. Rabbits tend to leave it alone. Really tough. Used as backdrop swaths of yellow."
"Portulaca spp. (native variety)","Native Purslane","Ground Covers & Low Plants","Pink-flowering native ground cover. Provides color breaks between darker plantings like viburnum. Used to frame boulders and add spots of interest."
"Spathoglottis plicata","Ground Orchid","Ground Covers & Low Plants","Ideal for shady garden spots — unless you have rabbits. Produces long shooting blooms that can get quite large. Mass plantings create stunning displays. Blooms in spite of being nibbled. Perfect for filtered-light garden areas."
"Megaskepasma erythrochlamys","Brazilian Red Cloak","Flowering Trees","Creates an 8-foot wall of stunning pink blooms as a backdrop. Three 15-gallon plants thicken up, fill out, and become a dense wall. Perfect for blocking two-story houses behind a property. Gets leggy at the base when young — pair with skirt plantings. One of the few plants that serves as both privacy screen and dramatic color."
"Melaleuca viminalis (syn. Callistemon viminalis)","Weeping Bottlebrush","Flowering Trees","Florida's version of the weeping willow. Gorgeous red bottle-brush flowers most of the year. Fans out into a mushroom-shaped canopy on a skinny trunk — perfect for layering plants underneath. Great intermediate buffer tree. Ideal in triangular formations of three. Perfect for birds and butterflies."
"Bauhinia blakeana","Hong Kong Orchid Tree","Flowering Trees","Stunning 'dancing blooms' from fall through spring. Gets big, so plan for space. The purple/pink flowers create a pow-wow punch at corners and endpoints. Perfect for where you need one dramatic large flowering tree."
"Calliandra haematocephala","Pink Powderpuff Tree","Flowering Trees","Fluffy pink powderpuff blooms. Can get large and wild if not maintained. Almost gives a mimosa-type feel with the puffy blooms that open up. Used as flowering accent trees. Available in 25-gallon size."
"Plumeria spp.","Plumeria (Frangipani)","Flowering Trees","Classic tropical flowering tree. Can be trained into lollipop shapes. Needs proper conditions to really thrive. Iconic tropical fragrance and flower."
"Duranta erecta 'Sapphire Showers'","Sapphire Duranta","Flowering Trees","Listed as a butterfly plant in the garden. Beautiful blue/purple cascading flowers that attract butterflies and pollinators."
"Albizia julibrissin","Mimosa Tree","Flowering Trees","Butterfly garden plant. Opens with puffy blooms similar to powderpuff tree. Listed among the top 10 butterfly-attracting plants."
"Alpinia purpurata","Red Cone Ginger","Tropical Specialty","Striking red/pink bloom that lasts for months. Blooms all summer. Needs warm climate — doesn't tolerate freezing. Use filtered light in pots to prevent harsh sun burn. Perfect for corners, pool areas, and water features. Gets hot pink when mature and going full. Protect from cold by bringing pots into garage."
"Alpinia zerumbet 'Variegata'","Variegated Ginger","Tropical Specialty","Used as underplanting beneath crinum lilies and taller tropicals. Dwarf variety wraps around the base of larger plants. Engulfs the bottom layer of plantings."
"Heliconia spp.","Heliconia","Tropical Specialty","Exotic tropical with dramatic flower bracts. Seen at botanical gardens and used in lush tropical plantings. Creates a Hawaii-like cluster when paired with palms and large-leafed tropicals."
"Adenium obesum","Desert Rose","Tropical Specialty","Succulent flowering plant — best kept in pots for drainage control. Doesn't want too much water. Asian bonsai-like trunk when mature. Loves sun. Comes in many color varieties. Blooms all summer with proper care. Place on pedestals along walkways for pops of interest. Can be passed down to kids — lasts for years in pots. Loves bougainvillea fertilizer or osmocote."
"Farfugium japonicum","Farfugium (Leopard Plant)","Tropical Specialty","Blooms constantly once established — hasn't stopped since planting. Needs partial shade — flourishes under palm canopies and taller plantings that provide coverage. Used at the base of bottle palms and accent features."
"Clerodendrum paniculatum","Pagoda Flower (Clerodendrum)","Tropical Specialty","Grows to 5-6 feet tall. Gorgeous orange flower bloom. Naturally leans toward sunlight creating an interesting focal point. Blooms magnificently in summer — blast of orange visible from gates. Produces runners/pups so needs management. Cut back seasonally."
"Psychotria nervosa","Psycho Coffee (Wild Coffee)","Tropical Specialty","Native Florida plant. Compact dwarf version preferred. Stays lush, thick, and compact. Beautiful cherry-like berries. Perfect underneath tree plantings in partial shade. Great for pollinators. A wonderful native pollinator plant."
"Hamelia patens","Firebush","Tropical Specialty","Native Florida butterfly plant. Dwarf variety used in landscape designs. Listed among the top butterfly-attracting plants for the garden."
"Plumbago auriculata","Plumbago","Tropical Specialty","Blue-flowering shrub that performs reliably. Existing plantings often kept in new designs because they do so well. Blue flowers complement warm-colored tropicals."
"Musa spp. (ornamental varieties)","Ornamental Banana","Tropical Specialty","Purely ornamental — not fruit-bearing. Adds instant tropical drama with large paddle-shaped leaves."
"Various Orchidaceae (Vanda, Dendrobium, etc.)","Orchid (Tree-mounted)","Tropical Specialty","Mounted to trees alongside bromeliads. Creates columns of draping orchids with upright bromeliads. Mounted like you would a Christmas tree decoration. Malaysian orchids spotted at botanical gardens."
"Asclepias spp.","Milkweed","Tropical Specialty","Essential butterfly garden plant — specifically for Monarch butterflies. Listed as #10 in the butterfly plant collection."
"Dietes bicolor","Yellow African Iris","Tropical Specialty","Listed as a butterfly plant. Provides yellow iris flowers that attract pollinators."
"Buxus microphylla var. japonica (or similar Florida cultivar)","Flora Boxwood (Japanese Boxwood)","Tropical Specialty","Used as a formal, finished hedge planting. Provides that classic tight, manicured hedge look."
"Juniperus spp.","Juniper","Tropical Specialty","Used when existing in client landscapes — transplanted and incorporated into new designs. Nice green, compact form."
"Ilex spp.","Holly","Tropical Specialty","Existing specimens transplanted into new designs. Provides formal evergreen structure."
"Schefflera arboricola 'Trinette'","Trinette Schefflera","Tropical Specialty","Variegated accent option. Mentioned alongside Java White copper leaf as a way to add brightness to darker plantings."
